Frame  27/3171   left_PSNR_before: 12.7684  left_PSNR_after: 30.8028  left_PSNR_gain: 18.0344 left_SSIM_before: 0.8195 left_SSIM_after: 0.9664 left_SSIM_gain: 0.1470 right_PSNR_before: 12.6400  right_PSNR_after: 30.9097  right_PSNR_gain: 18.2696 right_SSIM_before: 0.8083 right_SSIM_after: 0.9637 right_SSIM_gain: 0.1555
Frame  28/3171   left_PSNR_before: 12.4494  left_PSNR_after: 31.2742  left_PSNR_gain: 18.8248 left_SSIM_before: 0.7835 left_SSIM_after: 0.9654 left_SSIM_gain: 0.1820 right_PSNR_before: 12.3829  right_PSNR_after: 30.6407  right_PSNR_gain: 18.2578 right_SSIM_before: 0.7742 right_SSIM_after: 0.9599 right_SSIM_gain: 0.1857
Frame  29/3171   left_PSNR_before: 14.4317  left_PSNR_after: 30.1588  left_PSNR_gain: 15.7272 left_SSIM_before: 0.8731 left_SSIM_after: 0.9683 left_SSIM_gain: 0.0952 right_PSNR_before: 14.3881  right_PSNR_after: 30.1099  right_PSNR_gain: 15.7217 right_SSIM_before: 0.8714 right_SSIM_after: 0.9641 right_SSIM_gain: 0.0927
Frame  30/3171   left_PSNR_before: 14.3777  left_PSNR_after: 30.3051  left_PSNR_gain: 15.9274 left_SSIM_before: 0.8718 left_SSIM_after: 0.9684 left_SSIM_gain: 0.0966 right_PSNR_before: 14.3792  right_PSNR_after: 30.2475  right_PSNR_gain: 15.8683 right_SSIM_before: 0.8710 right_SSIM_after: 0.9638 right_SSIM_gain: 0.0928
Frame  31/3171   left_PSNR_before: 14.3833  left_PSNR_after: 30.4159  left_PSNR_gain: 16.0326 left_SSIM_before: 0.8714 left_SSIM_after: 0.9674 left_SSIM_gain: 0.0960 right_PSNR_before: 14.4809  right_PSNR_after: 30.5095  right_PSNR_gain: 16.0286 right_SSIM_before: 0.8744 right_SSIM_after: 0.9656 right_SSIM_gain: 0.0912
Frame  32/3171   left_PSNR_before: 14.1697  left_PSNR_after: 29.7558  left_PSNR_gain: 15.5861 left_SSIM_before: 0.8704 left_SSIM_after: 0.9661 left_SSIM_gain: 0.0956 right_PSNR_before: 14.2723  right_PSNR_after: 29.7309  right_PSNR_gain: 15.4587 right_SSIM_before: 0.8715 right_SSIM_after: 0.9627 right_SSIM_gain: 0.0911
Frame  33/3171   left_PSNR_before: 13.9037  left_PSNR_after: 30.0402  left_PSNR_gain: 16.1365 left_SSIM_before: 0.8678 left_SSIM_after: 0.9684 left_SSIM_gain: 0.1006 right_PSNR_before: 14.3216  right_PSNR_after: 29.9626  right_PSNR_gain: 15.6410 right_SSIM_before: 0.8742 right_SSIM_after: 0.9646 right_SSIM_gain: 0.0904
Frame  34/3171   left_PSNR_before: 13.7736  left_PSNR_after: 31.0513  left_PSNR_gain: 17.2776 left_SSIM_before: 0.8667 left_SSIM_after: 0.9707 left_SSIM_gain: 0.1040 right_PSNR_before: 13.9520  right_PSNR_after: 30.9276  right_PSNR_gain: 16.9756 right_SSIM_before: 0.8692 right_SSIM_after: 0.9665 right_SSIM_gain: 0.0973
Frame  35/3171   left_PSNR_before: 13.7729  left_PSNR_after: 30.9644  left_PSNR_gain: 17.1916 left_SSIM_before: 0.8679 left_SSIM_after: 0.9705 left_SSIM_gain: 0.1026 right_PSNR_before: 13.8499  right_PSNR_after: 31.2109  right_PSNR_gain: 17.3610 right_SSIM_before: 0.8708 right_SSIM_after: 0.9675 right_SSIM_gain: 0.0966
Frame  36/3171   left_PSNR_before: 14.6743  left_PSNR_after: 30.6779  left_PSNR_gain: 16.0036 left_SSIM_before: 0.8757 left_SSIM_after: 0.9726 left_SSIM_gain: 0.0969 right_PSNR_before: 14.6508  right_PSNR_after: 29.5325  right_PSNR_gain: 14.8817 right_SSIM_before: 0.8684 right_SSIM_after: 0.9648 right_SSIM_gain: 0.0963
Frame  37/3171   left_PSNR_before: 14.6245  left_PSNR_after: 31.4732  left_PSNR_gain: 16.8487 left_SSIM_before: 0.8737 left_SSIM_after: 0.9722 left_SSIM_gain: 0.0985 right_PSNR_before: 14.5590  right_PSNR_after: 30.2525  right_PSNR_gain: 15.6935 right_SSIM_before: 0.8703 right_SSIM_after: 0.9682 right_SSIM_gain: 0.0978
Frame  38/3171   left_PSNR_before: 14.5695  left_PSNR_after: 30.8721  left_PSNR_gain: 16.3026 left_SSIM_before: 0.8720 left_SSIM_after: 0.9710 left_SSIM_gain: 0.0990 right_PSNR_before: 14.6026  right_PSNR_after: 29.6378  right_PSNR_gain: 15.0353 right_SSIM_before: 0.8678 right_SSIM_after: 0.9645 right_SSIM_gain: 0.0968
Frame  39/3171   left_PSNR_before: 14.5371  left_PSNR_after: 30.3891  left_PSNR_gain: 15.8519 left_SSIM_before: 0.8710 left_SSIM_after: 0.9695 left_SSIM_gain: 0.0985 right_PSNR_before: 14.5741  right_PSNR_after: 29.5561  right_PSNR_gain: 14.9820 right_SSIM_before: 0.8671 right_SSIM_after: 0.9643 right_SSIM_gain: 0.0972
Frame  40/3171   left_PSNR_before: 14.5302  left_PSNR_after: 31.1112  left_PSNR_gain: 16.5810 left_SSIM_before: 0.8723 left_SSIM_after: 0.9721 left_SSIM_gain: 0.0998 right_PSNR_before: 14.4383  right_PSNR_after: 30.1903  right_PSNR_gain: 15.7520 right_SSIM_before: 0.8661 right_SSIM_after: 0.9651 right_SSIM_gain: 0.0990
Frame  41/3171   left_PSNR_before: 14.5060  left_PSNR_after: 30.6216  left_PSNR_gain: 16.1156 left_SSIM_before: 0.8721 left_SSIM_after: 0.9722 left_SSIM_gain: 0.1000 right_PSNR_before: 14.5594  right_PSNR_after: 29.5545  right_PSNR_gain: 14.9951 right_SSIM_before: 0.8689 right_SSIM_after: 0.9659 right_SSIM_gain: 0.0971
Frame  42/3171   left_PSNR_before: 14.4853  left_PSNR_after: 30.4081  left_PSNR_gain: 15.9228 left_SSIM_before: 0.8700 left_SSIM_after: 0.9709 left_SSIM_gain: 0.1009 right_PSNR_before: 14.5501  right_PSNR_after: 29.3204  right_PSNR_gain: 14.7703 right_SSIM_before: 0.8667 right_SSIM_after: 0.9655 right_SSIM_gain: 0.0988
Frame  43/3171   left_PSNR_before: 14.3903  left_PSNR_after: 32.6065  left_PSNR_gain: 18.2162 left_SSIM_before: 0.8393 left_SSIM_after: 0.9671 left_SSIM_gain: 0.1277 right_PSNR_before: 14.3532  right_PSNR_after: 31.2379  right_PSNR_gain: 16.8848 right_SSIM_before: 0.8367 right_SSIM_after: 0.9612 right_SSIM_gain: 0.1245
